qubit_id,epoch_number,t1,t2,readout_error,single_gate_error,two_gate_error,frequency,temperature,noise_drift,drift_rate,backend_status,backend_name,timestamp,version,is_deleted,t1_base,t2_base,frequency_base,readout_base,single_gate_base,qhi,run_id
Q0,0,2000000.0,1000000.0,0.005,0.0004,0.015,3.2,0.0,0.0,0.0,Active,ionq_aria_simulated,2026-08-17T23:37:28.332568+00:00,1,False,2000000.0,1000000.0,3.2,0.005,0.0004,0.99838,"Run - Aug 18, 2026 at 05:07:18"
Q1,0,2001000.0,1000500.0,0.0051,0.00041000000000000005,0.015,3.2,0.0,0.0,0.0,Active,ionq_aria_simulated,2026-08-17T23:37:28.631044+00:00,1,False,2001000.0,1000500.0,3.2,0.0051,0.00041000000000000005,0.9983470000000001,"Run - Aug 18, 2026 at 05:07:18"
Q2,0,2002000.0,1001000.0,0.0052,0.00042,0.015,3.2,0.0,0.0,0.0,Active,ionq_aria_simulated,2026-08-17T23:37:28.639359+00:00,1,False,2002000.0,1001000.0,3.2,0.0052,0.00042,0.9983139999999999,"Run - Aug 18, 2026 at 05:07:18"
Q3,0,2003000.0,1001500.0,0.0053,0.00043000000000000004,0.015,3.2,0.0,0.0,0.0,Active,ionq_aria_simulated,2026-08-17T23:37:28.646539+00:00,1,False,2003000.0,1001500.0,3.2,0.0053,0.00043000000000000004,0.998281,"Run - Aug 18, 2026 at 05:07:18"
Q4,0,2004000.0,1002000.0,0.0054,0.00044,0.015,3.2,0.0,0.0,0.0,Active,ionq_aria_simulated,2026-08-17T23:37:28.654474+00:00,1,False,2004000.0,1002000.0,3.2,0.0054,0.00044,0.998248,"Run - Aug 18, 2026 at 05:07:18"
Q5,0,2005000.0,1002500.0,0.0055,0.00045000000000000004,0.015,3.2,0.0,0.0,0.0,Active,ionq_aria_simulated,2026-08-17T23:37:28.664348+00:00,1,False,2005000.0,1002500.0,3.2,0.0055,0.00045000000000000004,0.9982150000000001,"Run - Aug 18, 2026 at 05:07:18"
Q6,0,2006000.0,1003000.0,0.0056,0.00046,0.015,3.2,0.0,0.0,0.0,Active,ionq_aria_simulated,2026-08-17T23:37:28.671255+00:00,1,False,2006000.0,1003000.0,3.2,0.0056,0.00046,0.998182,"Run - Aug 18, 2026 at 05:07:18"
Q7,0,2007000.0,1003500.0,0.0057,0.00047000000000000004,0.015,3.2,0.0,0.0,0.0,Active,ionq_aria_simulated,2026-08-17T23:37:28.676228+00:00,1,False,2007000.0,1003500.0,3.2,0.0057,0.00047000000000000004,0.9981490000000001,"Run - Aug 18, 2026 at 05:07:18"
Q8,0,2008000.0,1004000.0,0.0058000000000000005,0.00048,0.015,3.2,0.0,0.0,0.0,Active,ionq_aria_simulated,2026-08-17T23:37:28.681261+00:00,1,False,2008000.0,1004000.0,3.2,0.0058000000000000005,0.00048,0.998116,"Run - Aug 18, 2026 at 05:07:18"
Q9,0,2009000.0,1004500.0,0.0059,0.00049,0.015,3.2,0.0,0.0,0.0,Active,ionq_aria_simulated,2026-08-17T23:37:28.687239+00:00,1,False,2009000.0,1004500.0,3.2,0.0059,0.00049,0.998083,"Run - Aug 18, 2026 at 05:07:18"
Q10,0,2010000.0,1005000.0,0.006,0.0005,0.015,3.2,0.0,0.0,0.0,Active,ionq_aria_simulated,2026-08-17T23:37:28.693244+00:00,1,False,2010000.0,1005000.0,3.2,0.006,0.0005,0.9980499999999999,"Run - Aug 18, 2026 at 05:07:18"
