epoch_number,fidelity_error,timestamp
1,0.03580787733683044,2026-07-03T15:07:59.233365+00:00
2,0.03604145292645389,2026-07-03T15:08:00.393755+00:00
3,0.03598089989511344,2026-07-03T15:08:01.226194+00:00
4,0.03598423433150444,2026-07-03T15:08:02.145812+00:00
5,0.036002175541120396,2026-07-03T15:08:02.974007+00:00
6,0.03602272698501918,2026-07-03T15:08:03.943543+00:00
7,0.036049274351776406,2026-07-03T15:08:04.976745+00:00
8,0.036084632770681746,2026-07-03T15:08:05.805374+00:00
9,0.03612446865532548,2026-07-03T15:08:07.187180+00:00
10,0.03616511167419434,2026-07-03T15:08:08.134960+00:00
11,0.03619035123233949,2026-07-03T15:08:09.567875+00:00
12,0.03624693760780462,2026-07-03T15:08:10.761440+00:00
13,0.03629776672645302,2026-07-03T15:08:11.999877+00:00
14,0.036351098669159976,2026-07-03T15:08:13.119748+00:00
15,0.036405466874919745,2026-07-03T15:08:14.026705+00:00
16,0.03645851282262602,2026-07-03T15:08:14.876069+00:00
17,0.036531265302093274,2026-07-03T15:08:15.892877+00:00
18,0.03658647115664282,2026-07-03T15:08:16.798472+00:00
