qubit_id,epoch_number,t1,t2,readout_error,single_gate_error,two_gate_error,frequency,temperature,noise_drift,drift_rate,backend_status,backend_name,timestamp,version,is_deleted,qhi
Q0,0,120.0,90.0,0.01,0.002,0.01,4.9,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-07-03T15:06:40.337924+00:00,1,False,0.9964000000000001
Q1,0,135.0,100.0,0.012,0.0025,0.01,4.95,15.0,0.0,0.0,Active,TwinQ_Math_Simulator_5Q,2026-07-03T15:06:40.345357+00:00,1,False,0.99565
Q0,1,119.65052280206945,89.73639460030238,0.010069966683329365,0.002008008775825619,0.010029999999999999,4.900100272207927,15.003993336665873,4.387912809451864e-07,-0.349477197930554,Active,TwinQ_Math_Simulator_5Q,2026-07-03T15:06:40.361413+00:00,1,False,0.9963766073622535
Q1,1,134.60559023462002,99.7064395553361,0.012079966683329365,0.002510008775825619,0.010029999999999999,4.950100272207927,15.003993336665873,4.387912809451864e-07,-0.39440976537997585,Active,TwinQ_Math_Simulator_5Q,2026-07-03T15:06:40.365411+00:00,1,False,0.9956230073622534
Q0,2,119.30202261955175,89.47353692470188,0.010139733866159012,0.0020160054030230585,0.01006,4.900198939481949,15.007946773231803,2.7015115293406994e-07,-0.34850018251769654,Active,TwinQ_Math_Simulator_5Q,2026-07-03T15:06:41.005019+00:00,1,False,0.9963532782192455
Q1,2,134.21229208036075,99.41371656524123,0.012159733866159013,0.0025200054030230586,0.01006,4.950198939481949,15.007946773231803,2.7015115293406994e-07,-0.39329815425926995,Active,TwinQ_Math_Simulator_5Q,2026-07-03T15:06:41.009264+00:00,1,False,0.9955960782192455
Q0,3,118.95439747341217,89.2113653019592,0.010209104041332268,0.002024000707372017,0.01009,4.900295555575262,15.011820808266453,3.5368600833851456e-08,-0.3476251461395776,Active,TwinQ_Math_Simulator_5Q,2026-07-03T15:06:41.998457+00:00,1,False,0.9963300685753886
Q1,3,133.82000315500542,99.12176908968804,0.012239104041332268,0.002530000707372017,0.01009,4.950295555575262,15.011820808266453,3.5368600833851456e-08,-0.3922889253553308,Active,TwinQ_Math_Simulator_5Q,2026-07-03T15:06:42.003025+00:00,1,False,0.9955692685753887
Q0,4,118.60754737766253,88.94981925811226,0.01027788366846173,0.0020320041614683656,0.01012,4.900389210268891,15.015576733692345,-2.080734182735712e-07,-0.34685009574964454,Active,TwinQ_Math_Simulator_5Q,2026-07-03T15:06:42.734510+00:00,1,False,0.996307033651021
Q1,4,133.42862307059147,98.83053638673157,0.01231788366846173,0.002540004161468366,0.01012,4.950389210268891,15.015576733692345,-2.080734182735712e-07,-0.391380084413953,Active,TwinQ_Math_Simulator_5Q,2026-07-03T15:06:42.736502+00:00,1,False,0.9955426336510209
