execution_id,epoch_number,success,fidelity,counts,timestamp
exec_2Q_1_1783091200,1,True,0.9779717114953781,"{'0': 1001, '1': 23}",2026-07-03T15:06:40.381038+00:00
exec_2Q_2_1783091201,2,True,0.9778238287329682,"{'0': 1001, '1': 23}",2026-07-03T15:06:41.334159+00:00
exec_2Q_3_1783091202,3,True,0.9778621676396582,"{'0': 1001, '1': 23}",2026-07-03T15:06:42.081275+00:00
exec_2Q_4_1783091202,4,True,0.9778595957038492,"{'0': 1001, '1': 23}",2026-07-03T15:06:42.786347+00:00
exec_2Q_5_1783091203,5,True,0.9778482581931673,"{'0': 1001, '1': 23}",2026-07-03T15:06:43.661519+00:00
exec_2Q_6_1783091204,6,True,0.9778352701420485,"{'0': 1001, '1': 23}",2026-07-03T15:06:44.461103+00:00
exec_2Q_7_1783091205,7,True,0.977818493091639,"{'0': 1001, '1': 23}",2026-07-03T15:06:45.274103+00:00
exec_2Q_8_1783091206,8,True,0.9777961553194572,"{'0': 1001, '1': 23}",2026-07-03T15:06:46.114744+00:00
exec_2Q_9_1783091207,9,True,0.9777709985756041,"{'0': 1001, '1': 23}",2026-07-03T15:06:47.361156+00:00
exec_2Q_10_1783091208,10,True,0.9777453385165117,"{'0': 1001, '1': 23}",2026-07-03T15:06:48.330193+00:00
exec_2Q_11_1783091209,11,True,0.9777294159127198,"{'0': 1001, '1': 23}",2026-07-03T15:06:49.825085+00:00
exec_2Q_12_1783091210,12,True,0.9776940850930381,"{'0': 1001, '1': 23}",2026-07-03T15:06:50.668932+00:00
exec_2Q_13_1783091211,13,True,0.9776620415662779,"{'0': 1001, '1': 23}",2026-07-03T15:06:51.548485+00:00
exec_2Q_14_1783091212,14,True,0.9776284460666959,"{'0': 1001, '1': 23}",2026-07-03T15:06:52.523794+00:00
exec_2Q_15_1783091213,15,True,0.9775927216072509,"{'0': 1001, '1': 23}",2026-07-03T15:06:53.680000+00:00
exec_2Q_16_1783091214,16,True,0.9775597492085137,"{'0': 1001, '1': 23}",2026-07-03T15:06:54.614282+00:00
exec_2Q_17_1783091215,17,True,0.9775143075588542,"{'0': 1000, '1': 24}",2026-07-03T15:06:55.777559+00:00
exec_2Q_18_1783091216,18,True,0.9774787357336477,"{'0': 1000, '1': 24}",2026-07-03T15:06:56.913934+00:00
exec_2Q_19_1783091217,19,True,0.9774455981702379,"{'0': 1000, '1': 24}",2026-07-03T15:06:57.858017+00:00
exec_2Q_20_1783091218,20,True,0.9774130668727404,"{'0': 1000, '1': 24}",2026-07-03T15:06:58.681559+00:00
