epoch_number,fidelity_error,timestamp,run_id
1,0.22645489085580972,2026-07-10T16:49:06.220746+00:00,"Run - Jul 10, 2026 at 22:18:59"
2,0.22744228045728687,2026-07-10T16:49:10.301076+00:00,"Run - Jul 10, 2026 at 22:18:59"
3,0.22718640677941426,2026-07-10T16:49:11.821461+00:00,"Run - Jul 10, 2026 at 22:18:59"
4,0.22721363029199504,2026-07-10T16:49:13.841682+00:00,"Run - Jul 10, 2026 at 22:18:59"
5,0.22728865761081363,2026-07-10T16:49:16.405895+00:00,"Run - Jul 10, 2026 at 22:18:59"
6,0.22737455270514295,2026-07-10T16:49:18.252444+00:00,"Run - Jul 10, 2026 at 22:18:59"
7,0.22748532116029418,2026-07-10T16:49:20.258250+00:00,"Run - Jul 10, 2026 at 22:18:59"
8,0.22763223230485496,2026-07-10T16:49:22.484796+00:00,"Run - Jul 10, 2026 at 22:18:59"
9,0.22779707940103244,2026-07-10T16:49:24.470030+00:00,"Run - Jul 10, 2026 at 22:18:59"
10,0.22796482343109914,2026-07-10T16:49:26.493244+00:00,"Run - Jul 10, 2026 at 22:18:59"
11,0.22807928903138452,2026-07-10T16:49:29.043311+00:00,"Run - Jul 10, 2026 at 22:18:59"
12,0.22829994323847425,2026-07-10T16:49:31.547500+00:00,"Run - Jul 10, 2026 at 22:18:59"
13,0.22850612535985715,2026-07-10T16:49:33.991028+00:00,"Run - Jul 10, 2026 at 22:18:59"
14,0.22872093421998896,2026-07-10T16:49:36.662549+00:00,"Run - Jul 10, 2026 at 22:18:59"
15,0.22894062869900544,2026-07-10T16:49:38.987545+00:00,"Run - Jul 10, 2026 at 22:18:59"
16,0.22916349738509978,2026-07-10T16:49:41.532329+00:00,"Run - Jul 10, 2026 at 22:18:59"
17,0.22944449957783986,2026-07-10T16:49:44.542719+00:00,"Run - Jul 10, 2026 at 22:18:59"
18,0.22965158402019914,2026-07-10T16:49:46.955656+00:00,"Run - Jul 10, 2026 at 22:18:59"
19,0.22985641280101088,2026-07-10T16:49:49.908638+00:00,"Run - Jul 10, 2026 at 22:18:59"
20,0.23006935437007736,2026-07-10T16:49:52.711488+00:00,"Run - Jul 10, 2026 at 22:18:59"
21,0.23031510238165576,2026-07-10T16:49:55.442232+00:00,"Run - Jul 10, 2026 at 22:18:59"
22,0.23056090482140157,2026-07-10T16:49:58.583314+00:00,"Run - Jul 10, 2026 at 22:18:59"
23,0.23079891108351347,2026-07-10T16:50:01.288611+00:00,"Run - Jul 10, 2026 at 22:18:59"
24,0.23097804897168217,2026-07-10T16:50:04.339057+00:00,"Run - Jul 10, 2026 at 22:18:59"
25,0.23118884381528904,2026-07-10T16:50:07.312483+00:00,"Run - Jul 10, 2026 at 22:18:59"
26,0.23131784338923356,2026-07-10T16:50:10.323881+00:00,"Run - Jul 10, 2026 at 22:18:59"
27,0.23152802632968061,2026-07-10T16:50:13.728658+00:00,"Run - Jul 10, 2026 at 22:18:59"
28,0.2316717494935141,2026-07-10T16:50:16.377221+00:00,"Run - Jul 10, 2026 at 22:18:59"
29,0.2318664235384622,2026-07-10T16:50:20.041325+00:00,"Run - Jul 10, 2026 at 22:18:59"
30,0.23207597846383854,2026-07-10T16:50:23.093106+00:00,"Run - Jul 10, 2026 at 22:18:59"
31,0.23223441463092964,2026-07-10T16:50:26.839286+00:00,"Run - Jul 10, 2026 at 22:18:59"
32,0.23240909046143776,2026-07-10T16:50:29.888696+00:00,"Run - Jul 10, 2026 at 22:18:59"
33,0.23263397792797236,2026-07-10T16:50:33.461002+00:00,"Run - Jul 10, 2026 at 22:18:59"
34,0.23287103784718666,2026-07-10T16:50:36.868189+00:00,"Run - Jul 10, 2026 at 22:18:59"
35,0.2331255462192744,2026-07-10T16:50:40.835745+00:00,"Run - Jul 10, 2026 at 22:18:59"
36,0.2333300479814605,2026-07-10T16:50:44.141466+00:00,"Run - Jul 10, 2026 at 22:18:59"
37,0.23360197042496667,2026-07-10T16:50:48.010159+00:00,"Run - Jul 10, 2026 at 22:18:59"
38,0.23387633667450813,2026-07-10T16:50:51.555999+00:00,"Run - Jul 10, 2026 at 22:18:59"
39,0.23410419075771005,2026-07-10T16:50:55.848246+00:00,"Run - Jul 10, 2026 at 22:18:59"
40,0.2344288059991425,2026-07-10T16:50:59.187550+00:00,"Run - Jul 10, 2026 at 22:18:59"
41,0.23470944355046108,2026-07-10T16:51:03.406535+00:00,"Run - Jul 10, 2026 at 22:18:59"
42,0.23502193457581322,2026-07-10T16:51:07.513859+00:00,"Run - Jul 10, 2026 at 22:18:59"
43,0.2352808243570541,2026-07-10T16:51:11.390996+00:00,"Run - Jul 10, 2026 at 22:18:59"
44,0.23552878196262717,2026-07-10T16:51:16.343834+00:00,"Run - Jul 10, 2026 at 22:18:59"
45,0.235807612949812,2026-07-10T16:51:20.474512+00:00,"Run - Jul 10, 2026 at 22:18:59"
46,0.2360875349072571,2026-07-10T16:51:25.231734+00:00,"Run - Jul 10, 2026 at 22:18:59"
47,0.23638659573004572,2026-07-10T16:51:29.087193+00:00,"Run - Jul 10, 2026 at 22:18:59"
48,0.23669221104091032,2026-07-10T16:51:33.649595+00:00,"Run - Jul 10, 2026 at 22:18:59"
49,0.23694520315196077,2026-07-10T16:51:37.958925+00:00,"Run - Jul 10, 2026 at 22:18:59"
50,0.23722321849793937,2026-07-10T16:51:42.263960+00:00,"Run - Jul 10, 2026 at 22:18:59"
51,0.23751549098873626,2026-07-10T16:51:46.914267+00:00,"Run - Jul 10, 2026 at 22:18:59"
