qubit_id,epoch_number,t1,t2,readout_error,single_gate_error,two_gate_error,frequency,temperature,noise_drift,drift_rate,backend_status,backend_name,timestamp,version,is_deleted,t1_base,t2_base,frequency_base,readout_base,single_gate_base,qhi,run_id
Q0,0,2000000.0,1000000.0,0.005,0.0004,0.015,3.2,0.0,0.0,0.0,Active,ionq_forte_simulated,2026-07-10T16:49:05.181684+00:00,1,False,2000000.0,1000000.0,3.2,0.005,0.0004,0.99838,"Run - Jul 10, 2026 at 22:18:59"
Q1,0,2001000.0,1000500.0,0.0051,0.00041000000000000005,0.015,3.2,0.0,0.0,0.0,Active,ionq_forte_simulated,2026-07-10T16:49:05.325336+00:00,1,False,2001000.0,1000500.0,3.2,0.0051,0.00041000000000000005,0.9983470000000001,"Run - Jul 10, 2026 at 22:18:59"
Q2,0,2002000.0,1001000.0,0.0052,0.00042,0.015,3.2,0.0,0.0,0.0,Active,ionq_forte_simulated,2026-07-10T16:49:05.334533+00:00,1,False,2002000.0,1001000.0,3.2,0.0052,0.00042,0.9983139999999999,"Run - Jul 10, 2026 at 22:18:59"
Q3,0,2003000.0,1001500.0,0.0053,0.00043000000000000004,0.015,3.2,0.0,0.0,0.0,Active,ionq_forte_simulated,2026-07-10T16:49:05.340531+00:00,1,False,2003000.0,1001500.0,3.2,0.0053,0.00043000000000000004,0.998281,"Run - Jul 10, 2026 at 22:18:59"
Q4,0,2004000.0,1002000.0,0.0054,0.00044,0.015,3.2,0.0,0.0,0.0,Active,ionq_forte_simulated,2026-07-10T16:49:05.349539+00:00,1,False,2004000.0,1002000.0,3.2,0.0054,0.00044,0.998248,"Run - Jul 10, 2026 at 22:18:59"
Q5,0,2005000.0,1002500.0,0.0055,0.00045000000000000004,0.015,3.2,0.0,0.0,0.0,Active,ionq_forte_simulated,2026-07-10T16:49:05.355533+00:00,1,False,2005000.0,1002500.0,3.2,0.0055,0.00045000000000000004,0.9982150000000001,"Run - Jul 10, 2026 at 22:18:59"
Q6,0,2006000.0,1003000.0,0.0056,0.00046,0.015,3.2,0.0,0.0,0.0,Active,ionq_forte_simulated,2026-07-10T16:49:05.362542+00:00,1,False,2006000.0,1003000.0,3.2,0.0056,0.00046,0.998182,"Run - Jul 10, 2026 at 22:18:59"
Q7,0,2007000.0,1003500.0,0.0057,0.00047000000000000004,0.015,3.2,0.0,0.0,0.0,Active,ionq_forte_simulated,2026-07-10T16:49:05.370531+00:00,1,False,2007000.0,1003500.0,3.2,0.0057,0.00047000000000000004,0.9981490000000001,"Run - Jul 10, 2026 at 22:18:59"
Q8,0,2008000.0,1004000.0,0.0058000000000000005,0.00048,0.015,3.2,0.0,0.0,0.0,Active,ionq_forte_simulated,2026-07-10T16:49:05.376533+00:00,1,False,2008000.0,1004000.0,3.2,0.0058000000000000005,0.00048,0.998116,"Run - Jul 10, 2026 at 22:18:59"
Q9,0,2009000.0,1004500.0,0.0059,0.00049,0.015,3.2,0.0,0.0,0.0,Active,ionq_forte_simulated,2026-07-10T16:49:05.386533+00:00,1,False,2009000.0,1004500.0,3.2,0.0059,0.00049,0.998083,"Run - Jul 10, 2026 at 22:18:59"
